year,population
1950,228670
1951,233277
1952,238113
1953,243178
1954,248471
1955,253995
1956,259750
1957,265739
1958,271965
1959,278432
1960,285142
1961,292100
1962,299309
1963,306772
1964,314491
1965,322471
1966,330720
1967,339248
1968,348050
1969,357120
1970,366459
1971,376067
1972,385965
1973,396199
1974,406828
1975,417898
1976,429425
1977,441404
1978,453835
1979,466707
1980,480012
1981,493748
1982,507910
1983,522486
1984,537454
1985,552796
1986,568506
1987,584569
1988,600957
1989,617632
1990,634567
1991,651763
1992,669221
1993,686917
1994,704821
1995,722922
1996,741221
1997,759753
1998,778592
1999,797836
2000,817566
2001,837821
2002,858623
2003,880017
2004,902049
2005,924758
2006,948156
2007,972266
2008,997145
2009,1022859
2010,1049446
2011,1076934
2012,1105285
2013,1134398
2014,1164130
2015,1194370
2016,1225081
2017,1256268
2018,1287921
2019,1320039
2020,1352622
2021,1385655
2022,1419122
2023,1453034
2024,1487406
2025,1522250
2026,1557563
2027,1593338
2028,1629586
2029,1666317
2030,1703538
2031,1741244
2032,1779425
2033,1818072
2034,1857170
2035,1896704
2036,1936661
2037,1977027
2038,2017774
2039,2058875
2040,2100302
2041,2142034
2042,2184053
2043,2226332
2044,2268843
2045,2311561
2046,2354464
2047,2397532
2048,2440747
2049,2484094
2050,2527557
2051,2571117
2052,2614756
2053,2658451
2054,2702181
2055,2745926
2056,2789667
2057,2833388
2058,2877082
2059,2920739
2060,2964353
2061,3007907
2062,3051382
2063,3094761
2064,3138027
2065,3181161
2066,3224145
2067,3266962
2068,3309588
2069,3351999
2070,3394171
2071,3436086
2072,3477727
2073,3519072
2074,3560102
2075,3600798
2076,3641141
2077,3681117
2078,3720708
2079,3759901
2080,3798682
2081,3837035
2082,3874945
2083,3912399
2084,3949384
2085,3985887
2086,4021894
2087,4057394
2088,4092373
2089,4126818
2090,4160717
2091,4194057
2092,4226830
2093,4259027
2094,4290639
2095,4321658
2096,4352076
2097,4381886
2098,4411080
2099,4439650
2100,4467588
